variable_name,table_name,variable_type,unit,allowed_min,allowed_max,allowed_values,description
unit,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field unit
detect_flag,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field detect_flag
detection_limit,metal_concentrations,numeric,,,,,Raw sediment-metal concentration measurements; field detection_limit
analytical_method,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field analytical_method
lab_id,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field lab_id
qa_flag,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field qa_flag
notes,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field notes
background_id,background_values,text,,,,,"Background/reference values for CF, EF and Igeo; field background_id"
metal,background_values,text,,,,,"Background/reference values for CF, EF and Igeo; field metal"
background_value,background_values,numeric,,,,,"Background/reference values for CF, EF and Igeo; field background_value"
unit,background_values,text,,,,,"Background/reference values for CF, EF and Igeo; field unit"
background_type,background_values,text,,,,,"Background/reference values for CF, EF and Igeo; field background_type"
source_reference,background_values,text,,,,,"Background/reference values for CF, EF and Igeo; field source_reference"
uncertainty_sd,background_values,numeric,,,,,"Background/reference values for CF, EF and Igeo; field uncertainty_sd"
valid_from,background_values,date,,,,,"Background/reference values for CF, EF and Igeo; field valid_from"
valid_to,background_values,date,,,,,"Background/reference values for CF, EF and Igeo; field valid_to"
notes,background_values,text,,,,,"Background/reference values for CF, EF and Igeo; field notes"
hypothesis_id,dsmt_hypotheses,text,,,,,Source hypotheses in the DSmT source frame; field hypothesis_id
hypothesis_symbol,dsmt_hypotheses,text,,,,,Source hypotheses in the DSmT source frame; field hypothesis_symbol
hypothesis_name,dsmt_hypotheses,text,,,,,Source hypotheses in the DSmT source frame; field hypothesis_name
description,dsmt_hypotheses,text,,,,,Source hypotheses in the DSmT source frame; field description
default_risk_weight,dsmt_hypotheses,numeric,,,,,Source hypotheses in the DSmT source frame; field default_risk_weight
active,dsmt_hypotheses,text,,,,,Source hypotheses in the DSmT source frame; field active
notes,dsmt_hypotheses,text,,,,,Source hypotheses in the DSmT source frame; field notes
parameter_name,config_parameters,text,,,,,"Runtime settings, thresholds and reproducibility controls; field parameter_name"
parameter_value,config_parameters,text,,,,,"Runtime settings, thresholds and reproducibility controls; field parameter_value"
parameter_type,config_parameters,text,,,,,"Runtime settings, thresholds and reproducibility controls; field parameter_type"
module,config_parameters,text,,,,,"Runtime settings, thresholds and reproducibility controls; field module"
description,config_parameters,text,,,,,"Runtime settings, thresholds and reproducibility controls; field description"
required,config_parameters,text,,,,,"Runtime settings, thresholds and reproducibility controls; field required"
indicator_id,source_indicators,text,,,,,Evidence supporting each source hypothesis at each site; field indicator_id
site_id,source_indicators,text,,,,,Evidence supporting each source hypothesis at each site; field site_id
hypothesis_id,source_indicators,text,,,,,Evidence supporting each source hypothesis at each site; field hypothesis_id
indicator_name,source_indicators,text,,,,,Evidence supporting each source hypothesis at each site; field indicator_name
indicator_value,source_indicators,numeric,,,,,Evidence supporting each source hypothesis at each site; field indicator_value
indicator_unit,source_indicators,text,,,,,Evidence supporting each source hypothesis at each site; field indicator_unit
direction,source_indicators,text,,,,,Evidence supporting each source hypothesis at each site; field direction
reliability_weight,source_indicators,numeric,,,,,Evidence supporting each source hypothesis at each site; field reliability_weight
evidence_date,source_indicators,date,,,,,Evidence supporting each source hypothesis at each site; field evidence_date
data_source,source_indicators,text,,,,,Evidence supporting each source hypothesis at each site; field data_source
notes,source_indicators,text,,,,,Evidence supporting each source hypothesis at each site; field notes
exposure_id,exposure_indicators,text,,,,,Receptors and exposure relevance; field exposure_id
site_id,exposure_indicators,text,,,,,Receptors and exposure relevance; field site_id
receptor_type,exposure_indicators,text,,,,,Receptors and exposure relevance; field receptor_type
indicator_name,exposure_indicators,text,,,,,Receptors and exposure relevance; field indicator_name
indicator_value,exposure_indicators,numeric,,,,,Receptors and exposure relevance; field indicator_value
indicator_unit,exposure_indicators,text,,,,,Receptors and exposure relevance; field indicator_unit
direction,exposure_indicators,text,,,,,Receptors and exposure relevance; field direction
reliability_weight,exposure_indicators,numeric,,,,,Receptors and exposure relevance; field reliability_weight
evidence_date,exposure_indicators,date,,,,,Receptors and exposure relevance; field evidence_date
notes,exposure_indicators,text,,,,,Receptors and exposure relevance; field notes
